,reals_0,reals_1,reals_2,reals_3,reals_4,reals_5,reals_6,reals_7,reals_8,reals_9,reals_10,reals_11,reals_12,reals_13,reals_14,reals_15,imags_0,imags_1,imags_2,imags_3,imags_4,imags_5,imags_6,imags_7,imags_8,imags_9,imags_10,imags_11,imags_12,imags_13,imags_14,imags_15
80,0.9999999999999999,0.9999999985043863,0.9999999940175625,0.9999999865395786,0.9999999760705173,0.9999999626104965,0.9999999461596661,0.99999992671821,0.9999999042863449,0.9999998788643215,0.9999998504524237,0.9999998190509687,0.9999997846603067,0.9999997472808223,0.9999997069129327,0.9999996635570886,0.0,2.1687436317713917e-06,4.337478103690219e-06,6.506194256028487e-06,8.674882929307363e-06,1.0843534964421726e-05,1.3012141202764757e-05,1.5180692486352473e-05,1.7349179657948287e-05,1.9517593561187576e-05,2.1685925040702146e-05,2.3854164942244808e-05,2.6022304112813876e-05,2.8190333400777546e-05,3.0358243655998514e-05,3.2526025729958284e-05
106,0.9999999999999999,0.9999999983845822,0.9999999935383506,0.9999999854613698,0.9999999741537468,0.9999999596156325,0.9999999418472205,0.9999999208487468,0.9999998966204916,0.9999998691627767,0.999999838475968,0.9999998045604735,0.999999767416745,0.9999997270452768,0.999999683446606,0.9999996366213131,0.0,2.168743313885236e-06,4.337475560610167e-06,6.506185673185101e-06,8.674862584961555e-06,1.084349522980286e-05,1.3012072542254747e-05,1.5180583457715949e-05,1.734901691260872e-05,1.951736184454946e-05,2.168560719251917e-05,2.3853741897034014e-05,2.60217549003158e-05,2.8189635146462382e-05,3.0357371581618208e-05,3.2524953154144576e-05
111,0.9999999999999999,0.9999999984591081,0.99999999383645,0.999999986132077,0.9999999753460748,0.9999999614785633,0.9999999445296973,0.9999999244996652,0.99999990138869,0.9999998751970289,0.9999998459249732,0.9999998135728493,0.999999778141017,0.9999997396298707,0.9999996980398389,0.9999996533713846,0.0,2.1687435955117667e-06,4.3374778136140365e-06,6.506193277026025e-06,8.674880608724362e-06,1.0843530432071807e-05,1.3012133370945945e-05,1.5180680049867862e-05,1.734916109413087e-05,1.9517567129929115e-05,2.1685888784486316e-05,2.3854116686184334e-05,2.6022241464691848e-05,2.819025375109294e-05,3.0358144178015728e-05,3.2525903379760854e-05
153,0.9999999999999999,0.9999999985220903,0.9999999940883779,0.9999999866989129,0.9999999763537782,0.9999999630530909,0.9999999467970004,0.9999999275856902,0.9999999054193764,0.9999998802983091,0.9999998522227712,0.9999998211930793,0.9999997872095828,0.9999997502726645,0.9999997103827406,0.999999667540261,0.0,2.168743637513394e-06,4.3374781496261545e-06,6.5061944110618205e-06,8.674883296792282e-06,1.0843535682161934e-05,1.3012142443011864e-05,1.5180694455803988e-05,1.7349182597745205e-05,1.951759774691155e-05,2.1685930782372286e-05,2.3854172584314047e-05,2.602231403416492e-05,2.819034601471852e-05,3.035825941025807e-05,3.252604510668043e-05
159,0.9999999999999999,0.9999999985150029,0.9999999940600283,0.9999999866351259,0.9999999762403792,0.9999999628759053,0.9999999465418539,0.9999999272384084,0.9999999049657856,0.999999879724236,0.9999998515140422,0.9999998203355217,0.9999997861890242,0.9999997490749333,0.9999997089936655,0.9999996659456708,0.0,2.1687436350931004e-06,4.33747813026384e-06,6.506194345714219e-06,8.67488314189496e-06,1.084353537962987e-05,1.3012141920240173e-05,1.518069362566889e-05,1.734918135860513e-05,1.951759598260845e-05,2.1685928362233167e-05,2.3854169363152614e-05,2.60223098522835e-05,2.819034069791011e-05,3.0358252769808563e-05,3.25260369393711e-05
196,0.9999999999999999,0.9999999984652156,0.9999999938608801,0.9999999861870446,0.9999999754437945,0.9999999616312502,0.9999999447495657,0.9999999247989296,0.9999999017795644,0.9999998756917274,0.9999998465357097,0.9999998143118366,0.9999997790204684,0.9999997406619984,0.9999996992368554,0.9999996547455016,0.0,2.1687435974918468e-06,4.337477829454651e-06,6.5061933304879314e-06,8.674880735448333e-06,1.084353067957818e-05,1.3012133798634019e-05,1.5180680729015193e-05,1.7349162107892322e-05,1.9517568573335897e-05,2.1685890764444722e-05,2.3854119321474473e-05,2.6022244885966136e-05,2.8190258100874484e-05,3.035814961069651e-05,3.252591006159983e-05
239,0.9999999999999999,0.9999999985049196,0.999999994019695,0.999999986544376,0.9999999760790469,0.9999999626238236,0.9999999461788573,0.999999926744331,0.999999904320462,0.999999878907501,0.9999998505057314,0.9999998191154704,0.9999997847370694,0.9999997473709111,0.9999997070174138,0.9999996636770276,0.0,2.1687436318885944e-06,4.337478104627829e-06,6.506194259192913e-06,8.674882936808168e-06,1.0843534979071628e-05,1.3012141228079541e-05,1.518069252655093e-05,1.7349179717952203e-05,1.9517593646621552e-05,2.168592515789357e-05,2.38541650982237e-05,2.6022304315312783e-05,2.8190333658231398e-05,3.0358243977544483e-05,3.252602612543567e-05
272,0.9999999999999999,0.9999999985049359,0.9999999940197613,0.9999999865445253,0.9999999760793119,0.9999999626242378,0.9999999461794536,0.9999999267451427,0.9999999043215221,0.9999998789088425,0.9999998505073874,0.9999998191174744,0.9999997847394535,0.999999747373709,0.9999997070206582,0.9999996636807518,0.0,2.1687436319539705e-06,4.337478105150841e-06,6.506194260958069e-06,8.674882940992225e-06,1.0843534987243534e-05,1.3012141242200439e-05,1.5180692548974135e-05,1.7349179751423072e-05,1.9517593694277537e-05,2.1685925223264072e-05,2.385416518523008e-05,2.6022304428268177e-05,2.8190333801840782e-05,3.0358244156904458e-05,3.2526026346034336e-05
275,0.9999999999999999,0.9999999984483884,0.9999999937935705,0.9999999860355981,0.9999999751745572,0.9999999612105674,0.9999999441437839,0.9999999239743954,0.999999900702625,0.9999998743287304,0.9999998448530034,0.9999998122757704,0.9999997765973917,0.9999997378182626,0.9999996959388117,0.9999996509595032,0.0,2.1687435922401616e-06,4.3374777874412385e-06,6.506193188693033e-06,8.674880399343116e-06,1.0843530023125711e-05,1.3012132664290566e-05,1.5180678927731823e-05,1.7349159419116884e-05,1.951756474501524e-05,2.1685885513027328e-05,2.3854112331913332e-05,2.6022235811722002e-05,2.819024656391944e-05,3.035813520151783e-05,3.2525892339204255e-05
285,0.9999999999999999,0.9999999985295679,0.9999999941182881,0.9999999867662108,0.9999999764734191,0.9999999632400295,0.9999999470661916,0.9999999279520883,0.9999999058979364,0.9999998809039852,0.9999998529705176,0.9999998220978497,0.9999997882863307,0.9999997515363437,0.9999997118483042,0.9999996692226613,0.0,2.1687436395240153e-06,4.337478165711103e-06,6.506194465348411e-06,8.674883425471242e-06,1.0843535933487126e-05,1.301214287729989e-05,1.5180695145433702e-05,1.734918362715715e-05,1.9517599212607257e-05,2.168593279291353e-05,2.3854175260321964e-05,2.6022317508319057e-05,2.8190350431755743e-05,3.035826492697145e-05,3.2526051891917914e-05
